cname,students_12th_grade,preferred_test_num_taken,num_test_benchmark,prct_test_benchmark
Nevada,2587.0,385.0,245.0,76.52250000000001
Trinity,227.0,36.0,22.0,73.33
Mariposa,283.0,72.0,52.0,72.22
Tuolumne,818.0,158.0,93.0,69.9025
El Dorado,4164.0,1206.0,870.0,68.75142857142858
Calaveras,727.0,166.0,110.0,66.655
Placer,11575.0,3914.0,2677.0,65.18190476190475
Plumas,317.0,68.0,22.0,64.71
San Luis Obispo,5247.0,1327.0,840.0,64.62461538461538
Santa Barbara,9965.0,2422.0,1442.0,62.767058823529396
Amador,540.0,106.0,66.0,62.35
Humboldt,2461.0,594.0,301.0,61.269000000000005
Marin,5083.0,1931.0,1322.0,61.035000000000004
Santa Clara,41532.0,14339.0,9590.0,59.70753846153846
Santa Cruz,5837.0,1729.0,920.0,58.026666666666664
Orange,79748.0,33139.0,18357.0,57.85923076923074
Mono,249.0,74.0,30.0,57.69
Butte,4706.0,1098.0,653.0,56.15066666666667
Shasta,3899.0,786.0,466.0,55.95636363636363
San Mateo,13965.0,6283.0,3703.0,54.57827586206896
Ventura,20751.0,9126.0,3906.0,52.61666666666667
Sonoma,9920.0,2740.0,1488.0,50.703600000000016
Contra Costa,28037.0,11491.0,6088.0,50.327173913043474
Sutter,3310.0,716.0,348.0,50.13444444444444
Yolo,4217.0,1518.0,886.0,50.0225
San Diego,80037.0,26928.0,15240.0,49.918347107438
Siskiyou,832.0,247.0,99.0,49.43333333333334
Mendocino,1771.0,433.0,188.0,48.727999999999994
Solano,8696.0,2814.0,1371.0,48.20368421052632
Alameda,33009.0,12352.0,7157.0,48.12056338028167
Yuba,1462.0,354.0,164.0,48.01833333333334
San Benito,1701.0,452.0,214.0,47.47
State of California,489650.0,170411.0,77178.0,45.29
Napa,3239.0,1110.0,516.0,43.736666666666665
Del Norte,449.0,142.0,60.0,42.25
San Joaquin,21812.0,6738.0,2828.0,41.97863636363637
Sacramento,36318.0,12894.0,5539.0,40.710166666666666
Lassen,469.0,108.0,32.0,40.0
Lake,1236.0,346.0,128.0,38.599000000000004
San Francisco,8657.0,4587.0,2512.0,38.3278947368421
Stanislaus,16330.0,4776.0,1802.0,38.09129032258063
Kern,26616.0,7678.0,2742.0,36.0040476190476
Monterey,11006.0,3882.0,1308.0,35.54318181818182
Riverside,65819.0,28179.0,9567.0,34.029444444444444
Los Angeles,220286.0,100260.0,37488.0,33.983043478260875
San Bernardino,60031.0,24254.0,8165.0,33.98258426966292
Kings,3632.0,976.0,290.0,32.5790909090909
Imperial,5478.0,1549.0,594.0,32.44933333333333
Tehama,1200.0,604.0,210.0,31.53333333333333
Madera,3925.0,1016.0,280.0,31.403333333333336
Tulare,13749.0,3605.0,1173.0,31.152812500000003
Fresno,26825.0,8292.0,3047.0,30.125576923076924
Glenn,787.0,194.0,58.0,29.266666666666666
Merced,8361.0,2410.0,704.0,26.862000000000002
Inyo,788.0,176.0,54.0,25.47
Modoc,172.0,118.0,22.0,15.835
Colusa,623.0,148.0,6.0,7.145
Sierra,42.0,10.0,0.0,
