County,Population (January 2019),Population in Group Quarters (January 2019),Population: Unincorporated (January 2019),"Population: Unincorporated, Group Quarters (January 2019)",Race/Ethnicity: American Indian (2019),Race/Ethnicity: Asian (2019),Race/Ethnicity: Black (2019),Race/Ethnicity: Hispanic (2019),Race/Ethnicity: Multi-Racial/Ethnic (2019),Race/Ethnicity: Hawaiian/ Pacific Island (2019),Race/Ethnicity: White (2019),Age: 0-5 (2019),Age: 6-17 (2019),Age: 18-64 (2019),Age: 65+ (2019),Eligible Voters (February 2019),Registered Voters: No Party (February 2019),Registered Voters: Democrat (February 2019),Registered Voters: Republican (February 2019),Registered Voters: Other Party (February 2019),Labor Force: Employed (2018),Labor Force: Unemployed (2018),Labor Force: Unemployment Rate (2018),Poverty: All Ages (2017),Poverty: All Ages Percent (2017),Poverty: Under 18 (2017),Poverty: Under 18 Percent (2017),Median Household Income (2017),Gross Domestic Product (2018),GDP Change from Previous Year, Residential Building Permits: Single-Unit - Number (2018) , Residential Building Permits: Single Unit - Value (2018) , Residential Building Permits: Multi-Unit - # of Units (2018) , Residential Building Permits: Multi-Unit - Value (2018) ,Housing Units: Single Family (January 2019),Housing Units: Multi-Family (January 2019),Housing Units: Mobile Homes (January 2019),Total Maintained Public Road Miles (2017),County Maintained Road Miles (2017),Daily Vehicle Miles Traveled - Total (2017),Daily Vehicle Miles Traveled - County Roads (2017),Registered Autos (2018),Registered Trucks (2018),Registered Trailers (2018),Registered Motorcycles (2018),Violent Crimes (2018),Property Crimes (2018),Farms (August 2018),Ag: Planted Acres (August 2018),Planted Acres as proportion of population,Ag: Volunteer Acres (August 2018),Ag: Failed Acres (August 2018),Ag: Prevented Acres (August 2018),Ag: Not Planted Acres (August 2018)
Alameda,"1,669,301","39,821","149,536","2,356","4,849","443,972","192,977","391,815","69,855","13,634","562,667","113,908","235,459","1,078,207","252,195","1,082,749","261,947","489,759","95,587","31,070"," 822,800 "," 25,400 ",3.0%,"152,087",9.3%,"35,658",10.5%,"$95,550 "," $144,494,091,000 ",3.9%," 1,965 "," $682,283,505 "," 6,091 "," $1,352,542,307 "," 365,797 "," 232,321 ","7,859"," 3,909.11 ", 485.16 ," 41,889,632 "," 2,336,522 ","1,078,950","179,272","53,443","32,840"," 9,948 "," 58,856 ", 271 ," 165,009 ", 0.10 , 107 , -   , -   , -   
Alpine,"1,162",24,"1,162",24,202,6,1,85,22,0,830,39,154,648,305,929,209,319,200,42, 520 , 30 ,4.6%,202,18.1%,67,35.3%,"$55,755 "," $230,220,000 ",9.0%, 4 ," $1,256,629 ", -   , $-   ," 1,073 ", 676 ,34, 242.00 , 136.20 ," 174,729 "," 42,243 ","1,821",744,433,71, 12 , 29 , 10 ," 77,812 ", 66.96 , -   , -   , -   , -   
Amador,"38,294","4,362","21,774",151,594,454,"1,024","5,311","1,021",64,"29,802","1,811","3,812","21,882","10,765","28,216","4,791","6,347","9,809","1,439"," 14,120 ", 590 ,4.0%,"3,762",10.9%,908,15.7%,"$60,588 "," $1,864,239,000 ",3.9%, 172 ," $40,249,994 ", -   , $-   ," 15,545 "," 1,310 ","1,423", 721.52 , 458.99 ," 1,164,821 "," 288,114 ","29,750","15,763","10,862","2,169", 118 , 596 , 238 ," 192,892 ", 5.04 , 3 , -   , -   , -   
Butte,"226,466","4,970","78,702",360,"3,361","10,141","3,666","35,848","8,801",474,"166,738","15,015","31,775","138,840","43,399","171,388","30,377","42,093","41,330","7,398"," 97,600 "," 5,100 ",4.9%,"40,728",18.1%,"10,208",22.6%,"$48,634 "," $10,332,996,000 ",2.4%, 595 ," $128,664,970 ", 108 ," $12,499,351 "," 55,404 "," 19,294 ","10,749"," 2,140.03 "," 1,201.76 "," 5,244,885 "," 1,531,569 ","127,993","53,777","44,843","7,095"," 1,214 "," 5,824 ", 568 ," 199,971 ", 0.88 ," 4,642 ", -   , 138 , 220 
Calaveras,"45,117",507,"41,277",460,532,589,371,"5,114","1,320",71,"36,745","2,280","4,929","23,928","13,605","36,052","6,956","7,935","12,200","2,173"," 20,510 ", 850 ,4.0%,"5,904",13.1%,"1,590",21.1%,"$58,536 "," $1,642,450,000 ",-0.8%, 112 ," $29,518,251 ", -   , $-   ," 24,871 "," 1,068 ","2,271"," 1,317.51 "," 1,088.26 "," 1,144,175 "," 423,260 ","38,228","20,700","15,739","3,031", 197 , 860 , 222 ," 240,243 ", 5.32 ," 7,085 ", -   , -   , -   
Colusa,"22,117",251,"10,335",61,302,268,166,"13,215",310,63,"8,570","1,819","4,243","13,293","3,539","12,541","2,268","2,710","3,475",367," 9,550 "," 1,420 ",12.9%,"2,633",12.2%,912,15.4%,"$53,595 "," $1,721,047,000 ",13.6%, 36 ," $7,988,274 ", 32 ," $5,314,636 "," 6,153 "," 1,244 ",798, 920.33 , 697.33 ," 1,800,086 "," 361,913 ","12,915","8,097","8,370",492, 57 , 365 , 539 ," 203,297 ", 9.19 ," 139,611 ", -   , 199 , 306 
Contra Costa,"1,155,879","10,475","173,406",860,"3,333","176,305","103,842","294,840","45,537","5,245","529,600","75,329","172,284","712,517","198,572","756,140","174,686","305,850","122,364","27,144"," 546,800 "," 17,800 ",3.2%,"103,883",9.1%,"29,067",11.2%,"$95,062 "," $82,436,416,000 ",2.6%," 1,627 "," $587,689,613 "," 1,280 "," $185,988,913 "," 309,597 "," 99,182 ","7,283"," 3,748.41 ", 650.84 ," 24,074,880 "," 2,314,335 ","841,902","156,856","57,906","27,527"," 3,880 "," 27,551 ", 219 ," 84,235 ", 0.07 , -   , -   , -   , -   
Del Norte,"27,401","2,984","20,573",218,"1,854",989,886,"5,046","1,038",29,"17,460","1,758","3,884","16,575","5,085","17,960","3,632","4,172","4,918",943," 9,410 ", 550 ,5.5%,"6,113",24.6%,"1,949",33.9%,"$39,996 "," $1,046,680,000 ",3.8%, 25 ," $7,601,238 ", -   , $-   ," 7,177 "," 1,622 ","2,553", 759.02 , 222.46 ," 829,059 "," 198,093 ","14,447","7,093","5,211",845, 137 , 595 , 1 , -   , -   , 76 , -   , -   , -   
El Dorado,"191,848","1,705","158,131",662,"1,673","7,390","1,380","25,914","5,555",272,"148,159","9,960","26,654","112,044","41,685","137,976","30,066","34,739","48,494","7,727"," 88,300 "," 3,300 ",3.6%,"15,620",8.3%,"3,602",9.6%,"$78,464 "," $8,765,718,000 ",3.2%, 543 ," $184,804,176 ", -   , $-   ," 76,620 "," 11,242 ","4,125"," 1,617.90 "," 1,113.77 "," 4,869,919 "," 1,960,478 ","137,800","48,803","37,855","8,526", 475 ," 2,864 ", 63 ," 180,896 ", 0.94 , -   , -   , -   , -   
Fresno,"1,018,241","17,628","175,561","2,123","6,610","97,763","49,562","537,390","19,553","1,219","309,297","92,179","190,819","609,436","128,960","591,840","114,277","172,730","150,470","19,193"," 414,900 "," 33,400 ",7.5%,"205,046",21.1%,"78,675",28.3%,"$51,452 "," $47,408,857,000 ",4.4%," 2,213 "," $632,756,774 ", 716 ," $71,395,427 "," 234,467 "," 84,878 ","14,894"," 7,048.25 "," 3,902.04 "," 24,466,165 "," 5,766,442 ","532,328","182,998","96,015","17,716"," 5,889 "," 27,313 ", 960 ," 895,641 ", 0.88 ," 1,106 ", 136 ," 11,465 "," 4,961 "
